sample_name,POLR3GL,KLHL5,BLNK,SOX4,UBE2S,HSPA2,S100P,DEFB132,MICB,GNS,BIRC5,PREX1,FBXL16,CFB,TRIM45,GPAM,MTHFD1,CEBPA,CEBPD,STAT5A,PRLR,S100B,DENND1B
GSM1045235,7.31537,5.095582,8.004403,7.839593,6.941434,9.189757,9.68963,2.40677,5.434291,7.007853,5.842066,7.638382,4.635102,5.685948,6.011315,5.980776,8.163036,7.298376,6.117734,7.034219,5.61662,2.980389,5.763556
GSM1045236,7.497458,4.944253,7.375812,7.440166,5.23243,7.885547,9.06074,2.863798,6.14049,6.933374,4.429215,8.039731,5.995925,6.743619,5.85322,5.347167,6.537097,7.253868,7.026989,7.207501,4.814975,3.655873,5.552687
GSM1045237,7.163302,4.797854,7.409083,7.900382,6.311063,7.692851,11.38514,2.903086,5.888817,7.099458,5.571696,6.892555,4.607654,6.624783,5.207232,5.5815,6.676582,6.174153,6.713447,6.70799,4.294395,2.836588,5.533916
GSM1045238,6.444679,4.190095,7.128635,7.621315,9.28157,10.206141,10.525779,2.927005,4.235791,6.623169,6.333514,8.484018,5.187861,5.806415,5.98767,5.563001,7.662056,7.308918,6.929995,6.245078,5.528641,2.647284,4.911025
GSM1045239,7.564636,4.821912,6.975018,7.693459,6.293662,6.885257,8.650256,3.145578,6.403572,7.181875,6.145556,7.223646,4.946201,5.7907,6.163598,7.762778,7.56452,7.758835,6.459823,6.904322,4.379541,3.310058,5.425933
GSM1045240,7.151658,5.354896,5.998432,6.951745,4.86612,8.107994,5.982145,3.062297,6.147866,6.278653,5.088594,5.837064,5.702785,6.485868,7.047354,6.213716,6.838337,5.95098,6.433912,6.471382,4.916296,3.056345,5.039155
GSM1045241,7.144695,4.437534,6.274697,7.929381,6.945472,5.939843,5.306919,3.052573,5.943748,6.74715,5.903045,8.56872,5.847382,5.662868,6.496959,5.84362,7.214466,6.853965,6.449298,6.762805,5.339722,3.111726,5.145648
GSM1045242,5.462107,4.147836,6.159448,7.93573,5.512304,7.534172,7.202804,2.819769,6.295734,6.151742,6.038504,7.525743,5.421215,4.790923,5.650789,4.387539,6.661461,7.49229,6.251165,5.264724,4.748066,2.75761,5.916303
GSM1045243,6.71926,4.525106,6.165837,7.410005,4.493823,4.981012,7.37279,4.110108,5.158028,5.912457,5.302743,6.349804,5.628112,5.922709,5.588747,7.149245,6.10703,6.713775,6.31683,6.869511,5.051179,3.396456,4.991078
GSM1045244,6.552992,4.882567,5.80939,7.448672,4.454343,7.956648,7.21523,3.38536,5.78711,6.268692,5.479222,10.155354,5.655127,7.500257,6.895834,4.96399,6.954096,6.270339,6.231935,6.507777,4.885831,2.802215,4.378623
GSM1045245,7.255305,4.681498,6.01457,7.226902,4.443199,10.473181,8.524043,2.983519,5.525954,7.655739,5.271856,5.57942,5.338802,5.70948,5.410965,6.048699,7.622776,6.12965,6.133484,6.339556,5.241882,2.768512,5.278188
GSM1045246,7.503761,4.821943,5.92059,8.293184,6.335815,8.338171,8.605204,2.914229,7.470946,6.764977,5.587763,8.76624,6.037162,7.441444,6.359957,5.989518,8.346514,7.298367,6.577379,5.710806,5.1535,3.095957,5.048619
GSM1045247,7.536169,5.082865,5.058472,6.622246,6.48707,6.639713,4.800694,2.949049,4.810706,6.709508,5.597534,8.367545,6.135849,7.989867,6.326562,6.20635,7.779429,6.364657,5.302192,6.752198,4.375708,2.951652,6.193687
GSM1045248,6.806069,5.003034,3.302451,5.966316,7.12916,7.000376,9.692874,2.607208,9.32252,7.174324,8.338914,5.544014,4.910566,8.32199,5.068706,4.482052,8.736884,5.854693,7.320175,6.232007,3.569738,3.04094,5.162223
GSM1045249,7.261656,5.06384,5.674251,6.934058,5.099129,7.504183,7.423145,3.142265,5.690151,6.751488,5.249369,7.948836,6.381114,7.656975,6.150125,5.655054,7.660675,6.257779,5.706393,6.355361,4.658689,2.546696,6.035264
GSM1045250,5.36557,4.17367,5.174034,8.24997,6.040435,4.910513,11.103249,2.90255,5.014864,5.984697,6.752501,5.265721,4.638599,7.705255,5.937554,4.534021,7.260777,6.144985,7.045663,5.588508,4.01111,3.736476,5.373069
GSM1045251,7.996457,6.383432,6.700114,7.019094,4.148361,8.190815,6.787677,3.1305,7.28107,6.698169,4.5086,8.788337,5.602072,7.25939,6.827696,6.769404,7.569149,6.447392,5.455449,7.170745,5.097319,2.827964,6.576801
GSM1045252,8.7751,5.213448,7.334852,6.482319,5.63685,5.877453,4.697928,3.058396,7.725352,8.999077,5.583023,7.864856,4.535824,5.863295,4.887064,6.958325,7.765328,8.704809,7.53168,7.962716,3.623153,4.229251,5.177477
GSM1045253,7.129696,4.879735,7.989206,7.262418,6.471206,7.631226,10.845255,3.473423,9.753999,7.274655,5.735386,8.904701,5.166604,7.853853,7.303964,5.002504,7.582604,6.943033,6.51353,7.555675,5.79985,2.810094,5.141746
GSM1045254,6.621122,4.389068,7.746007,7.448412,6.746611,9.178282,8.957042,2.897051,5.621973,7.504591,5.901827,9.35983,5.941383,6.731676,6.335401,5.20225,7.139537,6.589061,5.658517,6.073331,4.725678,2.830638,5.503786
GSM1045255,6.724016,4.397604,5.996136,7.188012,5.541485,7.616388,6.028978,3.488965,4.927639,6.24704,5.693932,8.208725,4.513605,5.825821,5.958577,5.727693,7.171964,6.829306,4.866241,6.176226,5.574076,3.079061,5.240803
GSM1045256,7.884222,5.009713,6.438748,7.166966,6.349444,8.059936,5.285224,3.892969,5.711907,7.034315,6.090631,8.259384,4.777866,5.853732,6.259428,7.610233,8.118742,7.751608,5.708013,6.227856,6.017457,3.380331,5.6474
GSM1045257,7.374598,4.215018,5.837758,8.005628,6.530688,3.918029,10.603145,3.058897,7.149053,6.864115,6.019517,8.750016,6.698338,5.479632,6.052783,4.483179,7.423284,6.008404,5.213791,5.761737,5.542,2.810527,5.140058
GSM1045258,7.457558,4.670902,7.158369,7.688389,6.68946,7.126115,8.555951,3.588404,7.234402,6.770596,5.674392,7.535453,5.023162,7.113347,5.993103,6.759921,7.84968,7.437646,6.458747,7.232553,5.753573,3.181291,4.803395
GSM1045259,6.883902,4.299345,7.217366,7.002139,5.369745,7.180016,9.795756,3.154521,6.251217,6.550133,6.136246,6.518605,6.712684,6.808993,6.583176,5.324766,7.251155,6.269217,6.84851,5.87246,5.000751,3.406006,5.518067
GSM1045260,6.431185,4.330146,7.9555,6.696819,6.35569,6.779314,7.143064,3.542309,7.093051,7.084459,5.714906,7.718178,5.894506,7.1856,5.460892,6.14092,7.755474,7.135937,6.307992,6.768507,5.051353,2.889561,5.395265
GSM1045261,8.178861,4.870447,4.203247,7.6551,8.234731,6.538342,8.879053,2.518464,5.4444,6.393016,8.240336,5.726495,3.875616,4.408304,6.35633,5.751462,8.236725,7.153319,6.706049,5.558778,3.803117,2.774959,5.86511
GSM1045262,8.815002,6.022373,5.199115,7.110636,6.49706,8.688329,9.644587,2.845392,4.719142,6.976394,5.418409,9.453555,6.729881,7.165341,5.977184,5.369138,8.17396,6.388184,6.642203,7.518457,4.389972,2.817274,6.125099
GSM1045263,7.260453,4.181592,6.124337,8.094968,5.484902,8.666692,11.317726,2.965965,7.049818,6.128612,5.651654,8.29546,5.161706,8.159329,5.209556,5.728652,7.801038,6.95219,6.843518,6.975709,5.638892,2.806764,5.27913
GSM1045264,6.872953,4.831831,4.603946,7.873618,7.296408,6.920277,12.380299,2.516033,8.783706,6.727462,7.095662,6.780086,5.004893,6.568797,5.475725,4.924993,7.941901,6.25152,7.740681,7.839525,4.103812,2.822303,5.259341
