"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8240","IRX5",-2.39853758928627,7.30937559390741,-7.14136600923048,7.33357730325535e-11,1.24263393194049e-09,14.0910125374224
"13952","PDGFD",1.30998660652436,5.70690853633931,7.13684473058357,7.50553804826249e-11,1.26978458152441e-09,14.0682301086547
"12419","MTHFD1",1.28062344676098,7.663392953094,7.114137811541,8.43139053255813e-11,1.42086974305483e-09,13.9539002389143
"19524","TMEM97",-1.51498460317409,6.72350604368341,-7.10453097365332,8.85633055902356e-11,1.49016191340835e-09,13.9055743842412
"9604","LINC01279",2.86823884570324,5.93808232942969,7.10078096047209,9.02789698577404e-11,1.51432307689339e-09,13.8867177279737
"17170","SEMA4B",-1.20023074720723,7.62696016486849,-7.09101163548842,9.49045099381777e-11,1.58712643497887e-09,13.8376126197358
"12913","NFU1",1.49494689701639,7.65481860484717,7.08472592697121,9.80038363315757e-11,1.63629381323074e-09,13.8060324720415
"12796","NDUFAF4",1.03296360561948,5.60848725996424,7.07705990081406,1.01919588545043e-10,1.70036108624261e-09,13.7675330759267
"7392","HELLS",-1.04076410338795,4.06808801882749,-7.07536173730778,1.0280772543922e-10,1.71385780938129e-09,13.7590070916461
"18485","STARD10",-1.65294864926695,7.35915677481623,-7.07235293913898,1.04400165311821e-10,1.7363944545526e-09,13.743902869515
"2244","C2CD2",1.64028345769104,6.99929278974631,7.06724816390291,1.07157940364477e-10,1.77952852652818e-09,13.7182828854997
"3607","CNKSR1",-1.01778711981395,5.54120548913835,-7.06376719653601,1.09079686990108e-10,1.81005411629945e-09,13.7008169069323
"19426","TMEM230",1.1956392973826,7.90482322641757,7.06157917464393,1.10305045667477e-10,1.82758665947147e-09,13.6898401920817
"15640","RGL1",1.4547301658654,8.14595568145295,7.05553891626721,1.13758914943711e-10,1.87906125332271e-09,13.6595451755326
"12461","MUC1",-2.39950658808328,7.84217692115221,-7.05357179521456,1.14906662979112e-10,1.89368629133385e-09,13.6496813725187
"3886","CREBL2",1.24537566003962,6.62286689296055,7.045157098503,1.19947060850901e-10,1.97075387156772e-09,13.6075001911752
"6962","GPR116",1.32970761110026,5.64586917018618,7.03843160144048,1.24132385986509e-10,2.03488782629664e-09,13.5738017219807
"87","ABHD15",1.34766641735269,5.51510471621387,7.03057367637506,1.29205716148002e-10,2.11645218092661e-09,13.5344461954926
"1399","ATP8B1",-1.28523981505621,7.8449277909308,-7.02489854719891,1.32996803506338e-10,2.17690535142082e-09,13.5060343995814
"3302","CHCHD10",1.41175883591674,7.25489572069135,7.02436121517788,1.33361402748808e-10,2.18122445356906e-09,13.5033448150216
"7589","HN1",-1.68469304416548,7.57417107206395,-7.02327311927942,1.3410274615725e-10,2.19169431549831e-09,13.4978986777593
"7645","HOXA7",1.20552315941875,5.5979768095417,7.02107995937823,1.35609404653012e-10,2.21297788829011e-09,13.4869225501566
"13447","OPTN",1.45987758619325,7.03978766246357,7.02071736371594,1.35860108780393e-10,2.21539959008992e-09,13.4851080028793
"7296","HAS2",1.33345945792653,3.85585776677125,7.01941040526632,1.36767569979374e-10,2.22851898262103e-09,13.4785678818279
"11731","MB",-2.08331908557251,6.98823540245058,-7.01439260620574,1.40307619941075e-10,2.28448233821353e-09,13.4534631796515
"17062","SCNN1A",-1.03397249765751,6.23142327197653,-6.99482958979106,1.54995947795172e-10,2.50854801906161e-09,13.3556590896232
"1691","BCOR",-1.13477247071978,5.21136423188816,-6.99315580579325,1.56321111743588e-10,2.52810580642822e-09,13.347296466149
"17963","SMIM22",-2.16902748326949,7.29801915076192,-6.98184680306742,1.65572994417415e-10,2.67174604628102e-09,13.2908162054399
"3483","CLDN7",-1.45344989163189,6.2272056547722,-6.97818370579327,1.68684332507492e-10,2.71184797360782e-09,13.2725300062559
"16507","RP11-803D5.4",-1.67145292645286,5.292650064766,-6.97569450961276,1.70831514012809e-10,2.74408345200466e-09,13.2601062531231
"18511","STEAP1",2.42614342425884,5.69952487587835,6.97398398299855,1.72322661210786e-10,2.76418313223672e-09,13.25156998674
"8987","LAMC1",1.44193845353599,8.30803456766344,6.96943350072564,1.76352491212528e-10,2.82463993876278e-09,13.228865451584
"6187","FLJ20021",1.00378979865044,6.69905305967696,6.96837599693393,1.77302263394046e-10,2.83565769113594e-09,13.2235899621564
"7734","HSD17B11",1.99337794105725,6.5506309145373,6.96733110078017,1.78245680186952e-10,2.84864221730513e-09,13.2183777024092
"5299","ELTD1",1.5939330672027,5.81799970484132,6.96268303378289,1.82502843895205e-10,2.91452734848869e-09,13.1951957682132
"14535","POLR3GL",1.45050828053484,7.39479965333984,6.95850313811293,1.86416984330396e-10,2.9748414116984e-09,13.1743544450342
