sample_name,KLHL5,BLNK,SOX4,UBE2S,S100P,DEFB132,COLEC12,MICB,EIF4E3,GNS,ARF1,FBXL16,CFB,SOD2,TRIM45,MTHFD1,MDK,CEBPD,STAT5A,ACO1,TF
GSM1045252,5.213448,7.334852,6.482319,5.63685,4.697928,3.058396,8.671002,7.725352,4.902888,8.999077,6.299423,4.535824,5.863295,8.275181,4.887064,7.765328,6.865647,7.53168,7.962716,5.68665,4.563097
GSM1045253,4.879735,7.989206,7.262418,6.471206,10.845255,3.473423,6.091339,9.753999,4.903841,7.274655,6.479737,5.166604,7.853853,6.87065,7.303964,7.582604,7.638781,6.51353,7.555675,4.713493,4.360635
GSM1045254,4.389068,7.746007,7.448412,6.746611,8.957042,2.897051,5.372526,5.621973,4.425189,7.504591,6.658661,5.941383,6.731676,4.815794,6.335401,7.139537,7.228827,5.658517,6.073331,4.781608,3.772786
GSM1045255,4.397604,5.996136,7.188012,5.541485,6.028978,3.488965,6.266841,4.927639,4.631949,6.24704,6.761012,4.513605,5.825821,4.619521,5.958577,7.171964,5.798061,4.866241,6.176226,4.676999,3.920815
GSM1045256,5.009713,6.438748,7.166966,6.349444,5.285224,3.892969,7.118122,5.711907,4.692349,7.034315,6.229778,4.777866,5.853732,6.53227,6.259428,8.118742,6.351935,5.708013,6.227856,5.078405,4.838627
GSM1045257,4.215018,5.837758,8.005628,6.530688,10.603145,3.058897,8.205269,7.149053,4.130241,6.864115,6.652522,6.698338,5.479632,5.442647,6.052783,7.423284,8.165217,5.213791,5.761737,4.745221,4.607814
GSM1045258,4.670902,7.158369,7.688389,6.68946,8.555951,3.588404,6.636117,7.234402,4.820746,6.770596,6.36294,5.023162,7.113347,6.65275,5.993103,7.84968,7.746807,6.458747,7.232553,4.846807,4.698262
GSM1045259,4.299345,7.217366,7.002139,5.369745,9.795756,3.154521,6.017146,6.251217,4.893639,6.550133,7.065936,6.712684,6.808993,7.104102,6.583176,7.251155,6.240511,6.84851,5.87246,5.178893,4.969775
GSM1045260,4.330146,7.9555,6.696819,6.35569,7.143064,3.542309,6.908418,7.093051,5.160259,7.084459,6.847952,5.894506,7.1856,6.176625,5.460892,7.755474,5.060893,6.307992,6.768507,5.139271,4.488454
GSM1045261,4.870447,4.203247,7.6551,8.234731,8.879053,2.518464,4.222944,5.4444,5.649919,6.393016,6.874647,3.875616,4.408304,5.991749,6.35633,8.236725,8.745258,6.706049,5.558778,6.69773,5.87977
GSM1045262,6.022373,5.199115,7.110636,6.49706,9.644587,2.845392,4.747371,4.719142,5.414859,6.976394,6.905185,6.729881,7.165341,5.301827,5.977184,8.17396,9.805318,6.642203,7.518457,5.095704,4.28658
GSM1045263,4.181592,6.124337,8.094968,5.484902,11.317726,2.965965,5.261453,7.049818,4.779457,6.128612,7.758343,5.161706,8.159329,8.101522,5.209556,7.801038,6.676101,6.843518,6.975709,4.928201,4.326963
GSM1045264,4.831831,4.603946,7.873618,7.296408,12.380299,2.516033,5.384486,8.783706,4.272337,6.727462,7.589797,5.004893,6.568797,7.838153,5.475725,7.941901,7.746367,7.740681,7.839525,4.840823,4.864835
GSM1045265,4.56948,7.271013,7.42659,5.26981,10.279513,3.159515,5.134047,6.844611,4.711131,7.344592,7.16364,5.955904,6.854475,5.970059,6.754496,7.577481,5.94042,6.685656,7.326735,5.36778,6.031735
GSM1045266,6.422549,9.068152,6.442271,5.376439,4.650827,2.934449,6.990913,7.871731,4.745199,6.161008,6.555248,4.402759,5.10344,5.991758,4.789401,7.341667,5.083731,5.401509,7.32324,4.856786,5.372491
GSM1045267,5.389193,6.923507,7.439459,4.008498,8.685818,3.615099,7.591823,7.192097,5.368882,6.324541,7.351367,5.493728,7.132971,6.244342,6.65419,7.273681,6.561222,5.501437,7.09762,4.876629,5.454349
